coe1,coe2,coe3,coe4,coe5,coe6,coe7,coe8,coe9,coe10,coe11,coe12,coe13
-240.53941,72.02155,-23.384045,42.81227,-14.805326,2.567533,-2.6455564,1.3689501,24.373024,-17.287872,11.017058,11.445133,1.6089857
-242.8311,71.81302,-22.53442,43.82844,-15.131411,1.4348435,-3.231267,5.1251097,29.062862,-18.188034,7.5306315,5.714324,0.5087265
-245.525,66.403305,-23.166805,38.747482,-11.176542,5.6451807,-1.8216755,8.415472,26.432026,-17.838566,6.764421,8.559261,0.13893278
-245.43672,66.86693,-17.693804,46.044163,-9.364675,9.849928,-1.2291129,2.37786,24.282347,-16.741531,-0.59714055,9.715653,-2.7398567
-240.37402,73.159096,-16.2491,44.95334,-6.1577997,10.288992,-2.824691,-1.2451751,24.745743,-14.783611,3.0011368,8.17541,0.5829584
-240.47577,72.84938,-20.883018,41.62037,-6.532711,9.199757,-5.362152,0.67601115,19.459328,-12.993188,6.464263,2.7969384,-1.9596008
-245.43376,72.67134,-21.377594,40.56546,-11.447582,5.912515,-5.670456,-0.5237846,19.213486,-18.728321,7.6952753,0.7245785,-2.7114503
-250.1404,73.30217,-20.417713,40.492023,-11.823808,4.533432,-6.3665314,1.4231186,17.765755,-18.817545,6.153783,1.5975668,-3.829549
-251.13094,72.76639,-19.646248,40.971115,-13.172948,0.8618694,-8.278763,-0.31439555,16.572948,-13.145914,4.9348555,5.449583,-1.6745431
-245.41417,69.27755,-22.873213,42.9422,-8.186553,7.1729856,-3.3996923,-6.1234303,17.950764,-16.218658,7.0316668,3.6264768,0.5815582
-244.20892,67.3831,-21.819462,43.37814,-4.475712,13.546225,2.4412365,-1.101938,22.973433,-14.893305,9.501279,3.6031137,3.5798595
-247.1421,65.32837,-17.248634,42.696762,-7.3752265,12.058923,4.7291164,3.8122568,20.837013,-9.632657,5.823404,2.3598845,-2.5543923
-248.5544,66.30798,-25.701794,40.730545,-14.256311,8.137754,0.42656112,4.997631,15.227591,-8.411794,9.931592,1.222103,-5.7285423
-242.97256,71.465,-24.63812,42.33274,-9.670908,11.103521,-2.5217981,2.3458104,14.54182,-12.08659,4.783766,4.282464,-0.39761293
-241.812,73.97618,-21.767633,41.55436,-4.9309597,13.596254,-1.3823653,4.816773,17.405264,-11.660303,0.1632371,4.016964,-1.385112
-243.17706,72.06373,-20.56379,40.220467,-12.370067,8.482011,-4.7805004,0.9385879,18.464111,-15.711039,7.832999,0.28979987,-3.40133
-236.68333,75.883286,-21.200935,39.63242,-11.583885,8.491753,-6.527656,-0.031291664,24.409962,-15.677153,9.923832,-2.0710406,-0.2440393
-244.35805,71.3866,-24.172249,36.172615,-9.50536,11.883173,-4.7822294,0.8246127,23.920094,-12.2718725,10.786324,-0.7230338,-0.25256982
